1, a, ả đào
2, á, ác ý
3, acbit hối đoái, ái ân
4, ái chà, an cư
5, an cư, án quyết
6, án sát, anh trai
7, anh trai, ảo não
8, ảo nhật, áo mền
9, áo mưa, áp dụng
10, áp đảo, azote
11, ă, ăn chay
12, ăn chắc, ăn đứt
13, ăn đứt, ăn chớp
14, ăn kĩ làm dối, ăn năn
15, ăn năn, ăn quỵt
16, ăn quỵt, ăn uống
17, ăn uống, ắt phải
18, â, âm nhạc
19, âm noãn, ẩm thấp
20, ẩm thấp, ậm à ậm ạch
21, ậm à ậm ừ, ẩn sĩ
22, ẩn số, ập
23, ập, âý
24, b, ba đầu sáu tay mười hai con mắt
25, ba đầu sáu tay mười hai con mắt, ba que
26, ba que, bà đồng
27, bà đỡ, bá láp
28, bá quan, bạc cắc
29, bạc đãi, bách khoa toàn thư
30, bách nghệ, bai bải
31, bai bải, bải vị
32, bài vở, bại
33, bại, ban
34, ban, bàn
35, bàn, bàn máy
36, bàn mổ, bản doanh
37, bản dương, bản tính
38, bản tính, bán lẻ
39, bán lỗ, bán trú
40, bán tự động, bàng bạng
41, bàn bạng, banh
42, banh, bánh đà
43, bánh đai, bao
44, bao, bao nhím
45, bao phấn, bào tử
46, bào xác, bảo mạng
47, bảo mạng, báo cáo
48, báo cáo, bạo dạn
49, bạo dạn, bát ngát
50, bát ngát, bay
51, bay, bắc
52, bắc, bắn
53, bắn, băng đảng
54, băng đảo, bằng cứ
55, bằng đẳng, bắt
56, bắt, bắt giữ
57, bắt giữ, bắt tréo
58, bắt tréo, bấm ra sửa
59, bấm số, bận
60, bận, bập bùng
61, bập bùng, bất giác
62, bất giác, bất nhẫn
63, bất nhẫn, bất trung
64, bất túc, bầu dục
65, bầu đàn thê tử, bây nhiêu
66, bây nhiêu, be
67, be, bé
68, bé bỏng, béng
69, béng, bẹp
70, bét, bề thế
71, bề tôi, bên cạnh
72, bên cạnh, bệnh
73, bệnh, bệnh thương hàn
74, bệnh tích, bi ai
75, bi-ăng-tin, bì tải
76, bì thơ, bí truyền
77, bí tử, biếm hoạ
78, biên, biển báo
79, biển báo, biến sắc
80, biến sắc, biết đâu chừng
81, biết đâu đấy, biệt tích
82, biệt tích, big bang
83, bìm, binh tình
84, binh tình, bình luận
85, bình luận viên, BIOS
86, bíp, bỏ
87, bò, bỏ ngỏ
88, bỏ ngỏ, bó tay
89, bó tay, bom
90, bom, bỏng
91, bỏng, bóng thám không
92, bóng tối, bót
93, bót đảnh răng, bồ sứt cạp
94, bổ, bố
95, bố, bộ dàn
96, bộ dàn, bộ tư lệnh
97, bộ tướng, bộc trực
98, bộc trực, bổi hổi
99, bổi hổi bồi hồi, bồn chồn
100, bồn chồn, bông thấm nước
101, bông thùa, bốp chát
102, bốp chát, bơ
103, bơ, bơi
104, bơi, bơm nước
105, bơm phồng, Br
106, brôm, bủa
107, bủa giăng, bụm
108, bụm, bủng beo
109, bủng beo, buồm lộng gió
110, buôn, buồn phiền
111, buồn phiền, buồng
112, buồng, bút phê
113, bút sa gà chết, bức
114, bức, bước
115, bước, bướu
116, bướu, byte
117, c, ca xướng
118, cà, cà ròn
119, cà-rốt, cả tháng
120, cả tháng, cá lạc
121, cá lành canh, cá vàng bụng bọ
122, cả voi, cách thuỷ
123, cách thức, cải nguyên
124, cải nhiệm, cam chịu
125, cam còm, cảm quyết
126, cảm tạ, can thiệp
127, can tội, cáng
128, cáng, cảnh bị
129, cảnh binh, cạnh
130, cạnh, cao kều
131, cao khiết, cao trình
132, cao trở kế, cạo giấy
133, cạo giấy, cáu sườn
134, cáu sườn, căm
135, căm, căn cước
136, căn dặn, căng thẳng
137, căng thẳng, câm
138, câm hầu tắc cổ, cầm thú
139, cầm thinh, cân đối
140, cân đối, cần yếu
141, cẩn, cấp hiệu
142, cấp hiệu, cất lẻn
143, cất lén, câu nói
144, câu nói, cầu là
145, cầu leo, cấu kiện
146, cấu tạo, cây chuyển hướng
147, cây cỏ, cây hoàng bá
148, cây hoàng đàn, cây ngay thì bóng cũng ngay
149, cây nghệ, cây thảo quả
150, cây thân cỏ, cấy chiêm
151, cấy chiêm, chả gì
152, chả gì, chan
153, chan chan, chành chạnh
154, chành chạnh, chào mời
155, chào mừng, chày kình
156, chày máy, chạy giấy
157, chạy gió, chắc chắn
158, chắc chắn, chẵn
159, chẵn, chẳng là
160, chẳng lẽ, chắt mót
161, chắt ngoại, chậm bước
162, chậm chà chậm chạp, chân son mình rỗi
163, chân tài, chấp chính
164, chấp choá, chất đặc
165, chất đất, châu
166, châu, che mờ
167, che mờ, chen vai
168, chen vai thich cánh, chét
169, chét tay, chênh chênh
170, chênh chỏng, chết não
171, chết ngạt, chì
172, chì, chí mạng
173, chí nguy, chích
174, chích chích, chiến lược
175, chiến mã, chiều
176, chiều, chim dẽ
177, chim di cư, chin rộ
178, chín rục, chính khách
179, chính khách, chịu
180, chịu, chò
181, chò hỏ, choáng ngợp
182, choáng váng, chòm xóm
183, chỏm, chỗ nối
184, chỗ nứt, chộn rộn
185, chông, chờ đợi
186, chờ được vạ má đã sưng, chờm bơm
187, chờm bơm, chủ đầu tư
188, chủ đề, chú âm
189, chú bác, chuẩn đích
190, chuẩn độ, chun chủn
191, chun chủn, chủng chẳng
192, chủng chẳng, chuồng xí
193, chuộng, chuyên khoa
194, chuyên khoa, chuyển hướng
195, chuyển hướng, chữ số La Mã
196, chữ thảo, chứa nước
197, chứa nước lũ, chững
198, chững, chướng tai
199, chướng tai gai mắt, cỏ đuôi voi
200, cỏ gà, có điều độ
201, có điều độ, có tình
202, có tình, coi trọng
203, coi trọng, con cón
204, con cọp giấy, con nụ
205, con nuôi, còn người còn của
206, còn như, cô
207, cô, cổ điển
208, cổ diển, cố
209, cố, cốc láo
210, cốc láo, cồn muối
211, cồn ruột, công-đăng-xa-đo
212, công điểm, công nghệ phần mềm
213, công nghệ sạch, công sứ
214, công sứ, công vụ
215, công xã, cộng sinh
216, cộng sinh, cột quảng cáo
217, cột số, cơ lỡ
218, cơ lỡ, cờ đuôi nheo
219, cờ đuôi vược, cơm cháy
220, cơm chiên, CP
221, CPU, cũ
222, cũ càng, của độc
223, của độc, cùi
224, cùi chỏ, cung bậc
225, cung bậc, cùng đường
226, cùng giời, cuốc bộ
227, cuốc bộ, cuốn vó
228, cuống xéo, cuống quít
229, cuống vé, cử động
230, cử hành, của cái
231, cửa cao nhà rộng, cửa võng
232, cửa xanh, cứng
233, cứng, cười góp
234, cười ha hả, cườm
235, cương, cưỡng đoạt
236, cưỡng đoạt, cứu
237, cứu, Cựu Ước
238, d, dã dượi
239, dã dượi, dài dòng
240, dài dòng, dại khờ
241, dại khờ, dãn
242, dãn, danh hiệu
243, danh hiệu, dao búa
244, dao cạo, dạo
245, dạo, dạy bảo
246, dạy bảo, dắt díu
247, dắt đường, dân
248, dân, dần
249, dần, dẫn xuất
250, dấn, dâu tằm
251, dâu tây, dầu thực vật
252, dầu trẩu, dây
253, dây, dây máu ăn phần
254, dây mềm, dẽ dàng
255, dẽ dàng, dễ chịu
256, dễ chịu, di căn
257, di căn, dị biệt
258, dị chủng, dịch vụ
259, dịch vụ hậu mãi, diện
260, diện, dính
261, dính, doa
262, doá, dọn dẹp
263, dọn đường, dô
264, dô-ga, dồn dập
265, dồn dập, dở
266, dở, du canh
267, du canh, dục
268, dục anh, dung độ
269, dung giải, duy mĩ
270, duy ngã luận, dừ
271, dử, dự trù
272, dự trữ, dựng tóc gáy
273, dựng vợ gả chồng, dưỡng chất
274, dưỡng chí, dynamo
275, đ, đa mưu
276, đa năng, đà đận
277, đà đận, đá
278, đá, đá song phi
279, đá tai mèo, đài ghi âm
280, đài giám đốc, đại
281, đại, đại đồng tiểu dị
282, đại động mạch, đại lượng
283, đại lượng, đại thương gia
284, đại tiệc, đảm nhiệm
285, đảm trách, đàn
286, đàn, đạn báo hiệu
287, đạn bọc đường, đảng phái
288, đảng phí, đáng yêu
289, đanh, đánh
290, đánh áp, đánh địt
291, đánh đòn, đánh lừa
292, đánh lừa, đánh vần
293, đánh vật, đảo
294, đảo, đạo đức
295, đạo gia, đạp bằng
296, đạp đổ, đày
297, đày, đặc công
298, đặc công, đằm
299, đằm, đăng quang
300, đăng quang, đằng tướng
301, đắng, đặt câu
302, dặt chân, đâm sầm
303, đâm thọc, đần độn
304, đẩn, đất chua
305, đất chua mặn, đâu
306, đâu, đầu độc
307, đầu độc, đầu Ngô mình Sở
308, đầu người, đầu xương cụt
309, đẩu, đậu
310, đậu, đầy đủ
311, đầy gan đầy ruột, đè
312, đè bẹp, đen ngòm
313, đen ngòm, đèn khí đá
314, đèn lái, đèo
315, đèo bòng, đê hạ
316, đê hèn, đề huề
317, đề kháng, để mắt
318, để ngỏ, đêm này qua đêm khác
319, đêm ngày, đến hay
320, đến khi, đi
321, đi, đi làm
322, đi lị, đia
323, đỉa giả, địa mạo
324, địa ngục, điềm may
325, điểm nhiên, điên đầu
326, điên điên khùng khùng, điên áp phóng ban đầu
327, điện áp quét, điện thoại điều độ
328, điện thoại đường dài, điều
329, điều, điều trần
330, điều trần, đinh sang
331, đinh tai, định bụng
332, định bụng, đìu
333, đìu, đỏ lờ
334, đỏ lừ, đoàn kết
335, đoàn luyện, đoảng
336, đoảng, đon ren
337, đòn, đóng
338, đóng, đô tuỳ
339, đô uý, đồ hoạ
340, đồ hộ, đổ ải
341, đổ bê-tông, đố
342, đố, độ rõ
343, độ rộng, độc hại
344, độc hại, đồi trụy
345, đồi vận, đối lập
346, đối liên, đội tuyển
347, đội tuyển, độn tóc
348, đông, đồng
349, đồng bàn, đồng hồ
350, đồng hồ, đồng môn
351, đồng môn, đồng tượng
352, đồng văn, động rừng
353, đông sinh học, đột nhiên
354, đột phá, đời nào
355, đời này, đơn giản
356, đơn giản hoá, đủ đờ
357, đù đờ, đục chạm
358, đục dơ, đúng hẹn
359, đúng lí, đút lót
360, đút lót, đức rộng tài cao
361, đức thánh, được chăng hay chớ
362, được chăng hay chớ, đường bay
363, đường bay, đường goòng
364, đường gơ-lu-cô, đường tắt
365, đường tâm nhà ga, đứt tay hay thuốc
366, e, eo sèo
